"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"qind_cv"	"pglobal_cv"	"qglobal_cv"
"IDH2"	0	1	0	0	0	124.57713911663	0	0	0	0.00562740417187435	0.972711620993828	0.0216329567940179	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.104563704646321	0.999999999886752
"MYCN"	0	1	0	0	0	109.535007853389	0	0	0	0.00648353827292703	0.983229420852825	0.0245855936023219	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.115689837316782	0.999999999886752
"WT1"	0	1	0	0	0	104.175462101661	0	0	0	0.00685203698846126	0.973599015749262	0.0258298769841482	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.120269678521368	0.999999999886752
"CDKN1B"	1	7	0	0	0	2038.57311252971	0	0	0	0.00906621136200181	0.986155790602548	0.0275762832113409	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.126597178343295	0.999999999886752
"U2AF2"	1	3	0	2	0	333.806062870103	3154.47611766652	3154.47611766652	0	0.199658656936562	0.00901012904527787	0.0280141061850802	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.128165855354805	0.999999999886752
"CTNNB1"	0	1	0	0	0	90.5721532580494	0	0	0	0.00799597533297303	0.970457467703103	0.0296624451538945	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.134011175090685	0.999999999886752
"SAMD9L"	0	1	0	0	0	51.5647100158274	0	0	0	0.0149321030147617	0.9675074256502	0.0516605787275446	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.204733988049151	0.999999999886752
"SF1"	1	4	0	1	0	362.55333238534	2009.92470177016	2009.92470177016	0	0.0606834764709321	0.0231138309458575	0.0527689598265191	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.208006382008133	0.999999999886752
"PHIP"	0	1	0	0	0	42.6687647838953	0	0	0	0.0184405364858964	0.949559441664785	0.0621065132661999	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.234694576997375	0.999999999886752
"ASXL1"	0	1	0	0	0	42.1888404030486	0	0	0	0.0186747665797722	0.964512665437022	0.0628597995844096	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.236783337745692	0.999999999886752
"SETBP1"	2	0	0	0	0	0	0	0	0	0.0967988108168978	0.660785198924969	0.245627686329876	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.590473817374333	0.999999999886752
"ASXL2"	2	0	0	0	0	0	0	0	0	0.1107639308381	0.647134355490728	0.271935992244717	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.626047931216175	0.999999999886752
"PRPF40B"	3	6	0	0	0	1.08642803088313	0	0	0	0.918562414199878	0.358533056078652	0.613090457901172	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.913040542836515	0.999999999886752
"TTN"	0	0	0	0	0	0	0	0	0	0.340161290569963	0.81910638999523	0.618126430858229	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.915483729747617	0.999999999886752
"RUNX1"	1	1	0	0	0	108.83993363151	0	0	0	0.388521031113228	0.977173014831359	0.669121682852946	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.937967647352343	0.999999999886752
"MUC16"	0	0	0	0	0	0	0	0	0	0.503421954142698	0.909347302720199	0.794263603048874	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.977214185323593	0.999999999886752
"OBSCN"	0	0	0	0	0	0	0	0	0	0.569878233850512	0.902133716413405	0.844505939964755	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.987230407234879	0.999999999886752
"SYNE1"	0	0	0	0	0	0	0	0	0	0.612973156813839	0.894122570957972	0.872152964462695	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.991455163116649	0.999999999886752
"NEB"	0	0	0	0	0	0	0	0	0	0.624853939497092	0.883741190791665	0.877881730876398	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.992220029928542	0.999999999886752
